City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Couldiness,Wind Speed
161,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
162,East Wenatchee Bench,US,47.4257,-120.2812,70.3,47,100,5.82
163,Voh,NC,-20.9667,164.7,70.65,70,92,9.31
164,Nador,MA,35.174,-2.9287,62.85,88,0,2.3
165,Puerto Ayora,EC,-0.7393,-90.3518,68.79,89,93,7.34
166,Yellowknife,CA,62.456,-114.3525,39.29,99,20,5.75
167,Pisco,PE,-13.7,-76.2167,60.85,82,75,5.75
168,Butaritari,KI,3.0707,172.7902,82.69,77,25,12.48
169,Esperance,AU,-33.8667,121.9,76.84,70,91,11.88
170,Lima,PE,-12.0432,-77.0282,58.14,87,90,9.22
171,Iqaluit,CA,63.7506,-68.5145,33.53,74,90,10.0
172,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.66,76,100,18.68
173,Port Lincoln,AU,-34.7333,135.8667,58.6,59,43,12.95
174,Jamestown,US,42.097,-79.2353,53.08,96,75,1.01
175,Esperance,AU,-33.8667,121.9,76.84,70,91,11.88
176,Ponta Do Sol,PT,32.6667,-17.1,69.71,67,100,2.51
177,Georgetown,MY,5.4112,100.3354,87.75,74,20,13.0
178,Kapaa,US,22.0752,-159.319,78.12,73,32,4.0
179,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
180,Ponta Do Sol,PT,32.6667,-17.1,69.71,67,100,2.51
181,Kismayo,SO,-0.3582,42.5454,81.77,67,8,17.85
182,Ushuaia,AR,-54.8,-68.3,37.06,65,40,8.05
183,Bozova,TR,37.3625,38.5267,68.92,27,0,7.63
184,Khatanga,RU,71.9667,102.5,37.08,72,100,12.28
185,Carnarvon,AU,-24.8667,113.6333,73.47,46,0,13.8
186,Albany,US,42.6001,-73.9662,59.59,91,77,7.05
187,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
188,New Norfolk,AU,-42.7826,147.0587,55.76,53,18,1.01
189,Novaya Mayna,RU,54.15,49.75,50.04,64,100,5.91
190,Geraldton,AU,-28.7667,114.6,68.41,60,75,16.11
191,Khatanga,RU,71.9667,102.5,37.08,72,100,12.28
192,Deming,US,32.2687,-107.7586,62.24,81,52,5.32
193,New Norfolk,AU,-42.7826,147.0587,55.76,53,18,1.01
194,Namibe,AO,-15.1961,12.1522,63.79,81,45,3.38
195,Narsaq,GL,60.9167,-46.05,30.97,46,8,8.23
196,Laramie,US,41.3114,-105.5911,61.11,29,1,7.34
197,Port Hardy,CA,50.6996,-127.4199,53.78,94,90,6.91
198,Troitsko-Pechorsk,RU,62.7084,56.1964,42.31,77,100,10.83
199,Mineiros,BR,-17.5694,-52.5511,79.9,39,100,10.0
200,Sur,OM,22.5667,59.5289,94.24,43,8,5.84
201,Broken Hill,AU,-31.95,141.4333,64.11,22,1,12.66
202,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
203,Hervey Bay,AU,-25.2986,152.8535,75.31,70,95,19.3
204,Beloha,MG,-25.1667,45.05,83.32,30,0,6.29
205,Georgetown,MY,5.4112,100.3354,87.75,74,20,13.0
206,Husavik,IS,66.0449,-17.3389,40.91,96,100,29.1
207,Tasiilaq,GL,65.6145,-37.6368,26.73,57,100,3.83
208,Lagoa,PT,39.05,-27.9833,69.69,83,6,12.48
209,Talnakh,RU,69.4865,88.3972,40.62,43,51,1.99
210,Busselton,AU,-33.65,115.3333,61.05,75,61,12.5
211,Grass Valley,US,39.2191,-121.0611,68.38,43,90,3.0
212,Arraial Do Cabo,BR,-22.9661,-42.0278,70.47,83,82,25.52
213,Phangnga,TH,8.4509,98.5298,80.71,96,100,3.71
214,Falam,MM,22.9167,93.6833,71.91,79,68,4.09
215,Balastya,HU,46.4228,20.0082,57.49,53,0,6.42
216,Lebu,CL,-37.6167,-73.65,46.44,85,14,13.24
217,Nampula,MZ,-15.1165,39.2666,73.35,73,40,3.44
218,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
219,Saint-Pierre,RE,-21.3393,55.4781,80.29,64,0,31.07
220,Margate,GB,51.3813,1.3862,64.11,95,85,9.98
221,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
222,Nikolskoye,RU,59.7035,30.7861,49.39,88,100,9.19
223,Hermanus,ZA,-34.4187,19.2345,64.9,84,100,5.82
224,Albany,US,42.6001,-73.9662,59.59,91,77,7.05
225,Camacha,PT,33.0833,-16.3333,65.62,77,20,0.0
226,Mayo,US,38.8876,-76.5119,65.01,83,6,1.99
227,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,90,100,7.65
228,Arraial Do Cabo,BR,-22.9661,-42.0278,70.47,83,82,25.52
229,Komsomolskiy,UZ,40.4272,71.7189,83.12,15,0,6.91
230,Thompson,CA,55.7435,-97.8558,44.76,81,75,3.44
231,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
232,Fairbanks,US,64.8378,-147.7164,31.6,93,100,1.05
233,Puerto Ayora,EC,-0.7393,-90.3518,68.79,89,93,7.34
234,Ushuaia,AR,-54.8,-68.3,37.06,65,40,8.05
235,Dikson,RU,73.5069,80.5464,36.0,84,100,20.04
236,Hermanus,ZA,-34.4187,19.2345,64.9,84,100,5.82
237,Ode,NG,7.7899,5.7117,70.0,92,100,3.2
238,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
239,Hobart,AU,-42.8794,147.3294,56.12,55,40,1.01
240,Bredasdorp,ZA,-34.5322,20.0403,59.29,82,100,4.5
241,Cerrito,CO,6.8432,-72.694,50.14,88,99,3.83
242,Middle Island,US,40.8843,-72.9373,66.88,84,20,4.61
243,Tambopata,PE,-12.7333,-69.1833,73.83,64,53,2.51
244,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
245,Mataura,NZ,-46.1927,168.8643,43.48,91,91,1.61
246,Vaini,TO,-21.2,-175.2,69.96,94,75,6.91
247,Hermanus,ZA,-34.4187,19.2345,64.9,84,100,5.82
248,Kieta,PG,-6.2167,155.6333,81.19,82,100,5.23
249,Bethel,US,41.3712,-73.414,61.05,92,65,3.11
250,Vaini,TO,-21.2,-175.2,69.96,94,75,6.91
251,Beringovskiy,RU,63.05,179.3167,36.84,59,65,7.99
252,Albany,US,42.6001,-73.9662,59.59,91,77,7.05
253,Cape Town,ZA,-33.9258,18.4232,65.12,89,75,1.99
254,Boddam,GB,57.4667,-1.7833,61.43,99,100,14.97
255,Vallenar,CL,-28.5708,-70.7581,62.01,45,0,2.51
256,Vaini,TO,-21.2,-175.2,69.96,94,75,6.91
257,Clyde River,CA,70.4692,-68.5914,24.24,87,18,4.9
258,Lata,PT,40.1629,-8.3327,60.04,93,94,2.95
259,Victoria,HK,22.2855,114.1577,92.97,72,25,1.01
260,Bengkulu,ID,-3.8004,102.2655,76.57,90,100,9.86
261,Severo-Kurilsk,RU,50.6789,156.125,47.93,87,5,11.07
262,San Cristobal,VE,7.7669,-72.225,63.72,96,39,2.8
263,Ushuaia,AR,-54.8,-68.3,37.06,65,40,8.05
264,Bredasdorp,ZA,-34.5322,20.0403,59.29,82,100,4.5
265,Cape Town,ZA,-33.9258,18.4232,65.12,89,75,1.99
266,Albany,US,42.6001,-73.9662,59.59,91,77,7.05
267,Atuona,PF,-9.8,-139.0333,78.12,75,46,19.19
268,Dingle,PH,10.9995,122.6711,86.59,71,51,4.97
269,Ushuaia,AR,-54.8,-68.3,37.06,65,40,8.05
270,Urucara,BR,-2.5364,-57.76,74.28,91,99,0.94
271,Diamantino,BR,-14.4086,-56.4461,76.48,54,8,4.45
272,Faya,SA,18.3851,42.4509,77.11,17,3,9.57
273,Namibe,AO,-15.1961,12.1522,63.79,81,45,3.38
274,Puerto Ayora,EC,-0.7393,-90.3518,68.79,89,93,7.34
275,Cody,US,44.5263,-109.0565,65.21,36,2,11.18
276,Hobart,AU,-42.8794,147.3294,56.12,55,40,1.01
277,Iranshahr,IR,27.2025,60.6848,95.34,31,0,4.61
278,Vaini,TO,-21.2,-175.2,69.96,94,75,6.91
279,Birzai,LT,56.2,24.75,51.93,77,11,10.8
280,Dudinka,RU,69.4058,86.1778,41.38,47,13,5.99
281,Hermanus,ZA,-34.4187,19.2345,64.9,84,100,5.82
282,Bahia Honda,CU,22.9036,-83.1592,77.23,86,5,2.75
283,Butaritari,KI,3.0707,172.7902,82.69,77,25,12.48
284,Port Alfred,ZA,-33.5906,26.891,66.38,72,87,8.21
285,Cape Town,ZA,-33.9258,18.4232,65.12,89,75,1.99
286,Alofi,NU,-19.0595,-169.9187,74.21,55,98,5.21
287,Jamestown,US,42.097,-79.2353,53.08,96,75,1.01
288,Airai,TL,-8.9266,125.4092,71.69,54,95,2.64
289,Uyemskiy,RU,64.4743,40.8524,48.25,87,90,6.71
290,Umm Kaddadah,SD,13.6017,26.6876,80.65,58,72,10.67
291,Bluff,NZ,-46.6,168.3333,42.8,60,99,11.16
292,Kargasok,RU,59.0556,80.8572,37.13,92,100,12.68
293,Yangjiang,CN,21.85,111.9667,87.94,74,93,9.37
294,Faya,SA,18.3851,42.4509,77.11,17,3,9.57
295,Karoi,ZW,-16.8099,29.6925,73.83,31,0,10.98
296,Hobart,AU,-42.8794,147.3294,56.12,55,40,1.01
297,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,8.05
298,Tuktoyaktuk,CA,69.4541,-133.0374,33.6,97,100,13.65
299,Henties Bay,NA,-22.116,14.2845,53.85,80,0,3.33
300,Severo-Kurilsk,RU,50.6789,156.125,47.93,87,5,11.07
301,Coahuayana,MX,18.7333,-103.6833,78.31,89,100,2.75
302,Portland,US,45.5234,-122.6762,63.68,77,7,4.0
303,Jamestown,US,42.097,-79.2353,53.08,96,75,1.01
304,Saint George,US,37.1041,-113.5841,79.95,33,94,1.99
305,Atuona,PF,-9.8,-139.0333,78.12,75,46,19.19
306,Cayenne,GF,4.9333,-52.3333,80.1,86,75,2.3
307,Inhambane,MZ,-23.865,35.3833,79.56,58,0,6.42
308,Albany,US,42.6001,-73.9662,59.59,91,77,7.05
309,Fortuna,US,40.5982,-124.1573,59.41,70,90,0.0
310,Bredasdorp,ZA,-34.5322,20.0403,59.29,82,100,4.5
311,Kichera,RU,55.9375,110.0997,40.46,99,100,9.55
312,Provideniya,RU,64.3833,-173.3,34.59,75,80,5.7
313,Cantaura,VE,9.3057,-64.3584,72.77,86,38,1.72
314,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,90,100,7.65
315,Hermanus,ZA,-34.4187,19.2345,64.9,84,100,5.82
316,Ulladulla,AU,-35.35,150.4667,58.87,61,62,5.79
317,Tasiilaq,GL,65.6145,-37.6368,26.73,57,100,3.83
318,Busselton,AU,-33.65,115.3333,61.05,75,61,12.5
319,Shu,KZ,43.5983,73.7614,84.29,7,9,3.62
320,Hilo,US,19.7297,-155.09,79.29,88,75,4.61
321,Barrow,US,71.2906,-156.7887,26.62,86,90,5.75
322,Lukaya,UG,-0.1489,31.8748,77.4,52,66,5.91
323,Hobart,AU,-42.8794,147.3294,56.12,55,40,1.01
324,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
325,Hermanus,ZA,-34.4187,19.2345,64.9,84,100,5.82
326,Arivonimamo,MG,-19.0167,47.1833,60.85,49,51,12.84
327,Champerico,GT,14.3,-91.9167,80.73,81,100,4.0
328,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
329,Lompoc,US,34.6391,-120.4579,58.41,90,2,4.97
330,Albina,SR,5.5,-54.05,71.8,99,12,2.57
331,Zhuhai,CN,22.2769,113.5678,92.71,74,40,2.3
332,Chuy,UY,-33.6971,-53.4616,58.96,88,92,2.37
333,Lucapa,AO,-8.4192,20.7447,79.68,45,17,5.21
334,Vaini,TO,-21.2,-175.2,70.92,58,27,10.71
335,Yellowknife,CA,62.456,-114.3525,39.29,99,20,5.75
336,Sinnamary,GF,5.3833,-52.95,78.67,84,66,7.85
337,East London,ZA,-33.0153,27.9116,67.39,63,56,9.71
338,Tongzi,CN,28.7829,105.0877,91.62,48,26,4.83
339,Auki,SB,-8.7676,160.7034,81.59,77,23,3.04
340,Arraial Do Cabo,BR,-22.9661,-42.0278,70.47,83,82,25.52
341,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,8.05
342,Kodiak,US,57.79,-152.4072,37.53,81,17,7.47
343,Nador,MA,35.174,-2.9287,62.85,88,0,2.3
344,Kamyshin,RU,50.0983,45.416,57.49,56,96,16.96
345,Hit,IQ,33.6416,42.8251,84.27,15,0,14.85
346,Hermanus,ZA,-34.4187,19.2345,64.9,84,100,5.82
347,Hobart,AU,-42.8794,147.3294,57.11,54,40,9.22
348,Ushuaia,AR,-54.8,-68.3,31.98,87,32,2.64
349,Salinopolis,BR,-0.6136,-47.3561,78.22,82,100,10.11
350,Jamestown,US,42.097,-79.2353,53.08,96,75,1.01
351,Castro,BR,-24.7911,-50.0119,55.47,97,12,4.29
352,Atuona,PF,-9.8,-139.0333,78.12,75,46,19.19
353,Carnarvon,AU,-24.8667,113.6333,69.21,56,0,14.14
354,Norman Wells,CA,65.282,-126.8329,30.33,91,75,11.05
355,Eckernforde,DE,54.4667,9.8333,60.85,95,100,7.45
356,Russell,US,32.3502,-85.1999,61.83,93,1,0.0
357,Port Blair,IN,11.6667,92.75,80.96,82,100,10.29
358,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
359,Vestmanna,FO,62.1564,-7.1664,52.72,100,75,25.32
360,Busselton,AU,-33.65,115.3333,61.05,75,61,12.5
361,East London,ZA,-33.0153,27.9116,67.39,63,56,9.71
362,Great Yarmouth,GB,52.6083,1.7305,61.45,95,100,7.52
363,Wanning,CN,18.8003,110.3967,84.47,74,7,6.93
364,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
365,Hasaki,JP,35.7333,140.8333,68.4,59,100,11.65
366,Rikitea,PF,-23.1203,-134.9692,73.94,71,3,16.82
367,Saskylakh,RU,71.9167,114.0833,33.66,94,100,16.2
368,Laurel,US,39.0993,-76.8483,64.53,85,40,1.01
369,Bilibino,RU,68.0546,166.4372,28.11,98,100,6.85
370,Cidreira,BR,-30.1811,-50.2056,61.86,93,15,7.47
371,Huarmey,PE,-10.0681,-78.1522,62.76,89,99,6.31
372,Krasnyy Chikoy,RU,50.3643,108.7512,40.78,81,100,8.34
373,Port Hedland,AU,-20.3167,118.5667,89.65,25,0,24.16
374,Albany,US,42.6001,-73.9662,59.59,91,77,7.05
375,Pimenta Bueno,BR,-11.6725,-61.1936,77.43,67,9,3.0
376,Sambava,MG,-14.2667,50.1667,74.59,78,66,15.82
377,Washougal,US,45.5826,-122.3534,64.56,77,1,0.0
378,Kavieng,PG,-2.5744,150.7967,83.14,78,72,11.63
379,Souillac,MU,-20.5167,57.5167,76.35,70,13,18.21
380,Faanui,PF,-16.4833,-151.75,79.68,74,39,11.23
381,Karratha,AU,-20.7377,116.8463,85.51,30,0,21.52
382,Butaritari,KI,3.0707,172.7902,82.69,77,25,12.48
383,Castro,BR,-24.7911,-50.0119,55.47,97,12,4.29
384,Kargopol,RU,61.5071,38.9456,44.51,96,100,6.15
385,Cape Town,ZA,-33.9258,18.4232,65.12,89,75,1.99
386,Zittau,DE,50.9,14.8333,62.53,90,49,5.37
387,Ushuaia,AR,-54.8,-68.3,31.98,87,32,2.64
388,Butaritari,KI,3.0707,172.7902,82.69,77,25,12.48
389,Hobart,AU,-42.8794,147.3294,57.11,54,40,9.22
390,Luderitz,NA,-26.6481,15.1594,67.44,47,7,14.05
391,Port Lincoln,AU,-34.7333,135.8667,58.6,59,43,12.95
392,Cabo San Lucas,MX,22.8909,-109.9124,85.51,81,2,4.0
393,Khani,GE,41.9563,42.9566,51.37,91,99,1.5
394,Lompoc,US,34.6391,-120.4579,58.41,90,2,4.97
395,Hermanus,ZA,-34.4187,19.2345,65.89,84,100,5.82
396,Lannion,FR,48.75,-3.4167,61.34,94,90,8.05
397,Bluff,NZ,-46.6,168.3333,42.8,60,99,11.16
398,Sawtell,AU,-30.3833,153.1,60.82,82,75,18.41
399,Verdun,FR,49.25,5.3333,64.2,94,40,8.93
400,Atakpame,TG,7.5333,1.1333,72.0,91,100,2.06
401,Tura,IN,25.5198,90.2201,90.41,61,15,2.46
402,Phan Thiet,VN,10.9333,108.1,84.07,76,42,11.79
403,Punta Arenas,CL,-53.15,-70.9167,33.91,86,40,8.05
404,Faya,SA,18.3851,42.4509,77.11,17,3,9.57
405,Mackenzie,CA,55.2999,-123.1698,49.71,99,100,2.48
406,Mataura,NZ,-46.1927,168.8643,42.48,91,91,1.61
407,Korla,CN,41.7597,86.1469,73.0,16,0,9.57
408,Atuona,PF,-9.8,-139.0333,78.12,75,46,19.19
